genome_id,universal_bigg_id,media,n_reps,log2fc_mean,log2fc_var,log2fc_P,log2fc_Padj
G124,hom__L,mm,3,0.0018367444590386324,0.0008521042848857269,0.9372022133216658,0.947879368455036
G124,gly,mm,3,-0.39093417300864647,0.0033833907758672893,0.010888702465683806,0.026178675246765117
G124,ins,mm,3,0.2583253239134228,0.0003038639503792438,0.0022690033423704036,0.008534438098026363
G124,pala,mm,3,-0.24892155620208092,0.0011391434418569094,0.009067447353165198,0.022889619395759477
G124,pro__L,mm,3,-0.05469138866297787,0.001453160750687532,0.17961664579416362,0.23755535470861297
G124,cys__L,mm,3,0.2309133783250207,0.15023251268096574,0.48818877447743025,0.5498401493647601
G124,ncam,mm,3,-8.73419667911126,0.14623062058116967,0.0009570587024450594,0.004920348122774392
G124,dmgly,mm,3,-0.09526230199436776,0.03438301921334541,0.5430311708143669,0.6003669960125113
G124,met__L,mm,3,-0.29056087680094916,0.0006074332114678567,0.0035781490675949926,0.011803019760705108
G124,cyst__L,mm,3,-0.5352814496527593,0.0007430250691942277,0.0012940928034736684,0.0058999899330300296
G124,glc__D,mm,3,-0.040533132454771796,0.0019470751066361905,0.32350850210411664,0.3882149612692208
G124,citr__L,mm,3,-0.08674335531679712,0.027804002999204557,0.5384973973493572,0.5962024975721328
G124,thym,mm,3,0.10043733828188924,0.005863655997782728,0.20476231890300386,0.2654573990095814
G124,acser,mm,3,-0.10488016539648591,0.00020027391947405492,0.008981031239082709,0.022739748361418805
G124,hxan,mm,3,-0.6216392999388337,0.040682931394347935,0.04881641402296713,0.08294394321669644
G124,creat,mm,3,-0.36203136936176006,0.0266962142375315,0.08852717305868257,0.13278611444304228
G124,csn,mm,3,1.089102954250243,0.007804998575434277,0.0032739203490613255,0.01111235895253705
G124,ile__L,mm,3,-1.1262363029968492,0.3595856182245661,0.11732028696205082,0.1671676663890532
G124,acrn,mm,3,-0.24957536400528924,0.0002623242599316666,0.002099113430008762,0.008098291552459244
G124,val__L,mm,6,-0.1262508651607613,0.0037458405982431844,0.005774031245057326,0.01645627688646149
G124,Glc_aD,mm,3,-0.040533132454771796,0.0019470751066361905,0.32350850210411664,0.3882149612692208
G124,cytd,mm,3,-0.44933043460194516,0.009992667940847393,0.023864549798180566,0.047544424208939735
G124,ser__L,mm,3,-0.007833545884534865,0.0020006768060529838,0.8274918103868079,0.8552874600912167
G124,26dap_LL,mm,3,-0.2651037756997014,0.0005502851380784226,0.0038921064391675905,0.012470589466995547
G124,ala_B,mm,3,0.012908599815920968,0.0014119946535288469,0.6751076924564419,0.7219298405117405
G124,phe__L,mm,3,-0.5539076043284367,0.0012580460092834098,0.0020438960529544615,0.007964396478974406
G124,5aop,mm,3,4.992584367690749,0.010977941437022331,0.00022013883449370814,0.001964615936059189
G124,cysi__L,mm,3,0.6430598442940404,0.05271247302158901,0.05822457370340513,0.09506555082736687
G124,4hbald,mm,3,0.23389381447635516,0.07123297139741008,0.34092001963767493,0.40562472660295407
G124,glygly,mm,6,-0.2540883805065404,0.026724478539395125,0.017744555741448138,0.037910752647611096
G124,chol,mm,3,-0.21403061426062278,0.0004869000406003017,0.0052724530328528635,0.015363745402357997
G124,thr__L,mm,6,-0.07135084440192559,0.00583739178583692,0.09110643405150848,0.1359415661236257
G124,4gudbutn,mm,3,0.11429377465288064,0.0062194791527161826,0.17692314965161057,0.23457908886553525
G124,6dg,mm,3,-0.24892155620208092,0.0011391434418569094,0.009067447353165198,0.022889619395759477
G124,sucr,mm,3,-0.24892155620208092,0.0011391434418569094,0.009067447353165198,0.022889619395759477
G124,5mta,mm,3,-6.412197951197492,0.04833967752620341,0.0005873232228200407,0.003630887034501229
G124,glc__aD,mm,3,-0.040533132454771796,0.0019470751066361905,0.32350850210411664,0.3882149612692208
G124,ind3eth,mm,3,0.0029511724310624307,0.015626319472656774,0.9763981937349262,0.97968826837861
G124,1acpc,mm,3,0.26372786935176823,0.04626533927278468,0.22505923891786922,0.2870138819242047
G124,5aptn,mm,3,-0.06593185567501787,0.0001612751951887778,0.018049426778557268,0.038412813720357215
G124,gbbtn,mm,3,-0.08882342570859669,0.0013560532507857356,0.07624097241055579,0.11761599769714774
G124,4tmeabutn,mm,3,-0.08882342570859669,0.0013560532507857356,0.07624097241055579,0.11761599769714774
G124,tyr__L,mm,3,-0.04028518089908343,0.0009471610551379648,0.2053535406397134,0.26594663387165796
G124,cellb,mm,3,-0.24892155620208092,0.0011391434418569094,0.009067447353165198,0.022889619395759477
G124,malt,mm,3,-0.24892155620208092,0.0011391434418569094,0.009067447353165198,0.022889619395759477
G124,all__D,mm,3,-0.040533132454771796,0.0019470751066361905,0.32350850210411664,0.3882149612692208
G124,glyb,mm,3,-0.11022269765003327,0.0010853561083145637,0.041882172711733494,0.07339818504347034
G124,acgam,mm,3,0.0716991187589965,0.0022014077217611915,0.1632387502224761,0.21924182079776836
G124,athr__L,mm,3,0.0018367444590386324,0.0008521042848857269,0.9372022133216658,0.947879368455036
G124,diact,mm,3,3.0641047523387903,2.187552807190104,0.09942705532686423,0.1456802564620062
G124,ura,mm,3,-0.37086215184488297,0.001769370179902953,0.006370858262248581,0.0177156959420854
G124,leu__L,mm,3,-0.3921683332911517,0.005297563914469696,0.016790163377158645,0.03635537117856817
G124,sarcs,mm,6,0.014010139203889216,0.000897276094011661,0.34353719946807515,0.4079575599864737
G124,ade,mm,3,-0.007809941899631267,0.00010568063199210002,0.3950611212590134,0.4596718174987853
G124,ala__L,mm,9,-0.12701462736189378,0.041989185218699425,0.11765954869000582,0.16755085477993956
G124,crn,mm,3,-0.007376205530024001,0.0008718699960904331,0.7576392766640666,0.7944826490443172
G124,his__L,mm,3,-0.2441363786363383,0.002241913609543223,0.018292724441980143,0.038745985543749584
G124,4abut,mm,3,-0.08094073122261007,0.00277482848275799,0.16186485484085716,0.2176829478961584
G124,gsn,mm,3,-0.026207618278335596,0.0003331481530151721,0.179402576274638,0.23729419051391826
G124,uri,mm,3,-0.16505129296387225,0.003357311195530191,0.056452849812893925,0.09269162347796586
G124,srb__L,mm,3,-0.040533132454771796,0.0019470751066361905,0.32350850210411664,0.3882149612692208
G124,ala__D,mm,6,0.014010139203889216,0.000897276094011661,0.34353719946807515,0.4079575599864737
G124,trp__L,mm,3,-0.3436361223293177,0.00023286857762311013,0.0009845584962945699,0.0049919455791196474
G124,ahcys,mm,3,-0.6020580417163394,0.002600940398348583,0.003568569134300595,0.011774904132549346
G124,asn__L,mm,6,-0.11628351938430768,0.003462892712993227,0.006901048363542444,0.018820203064322107
G124,adn,mm,3,-0.41640896580182174,8.620871094715466e-05,0.00024849583151886906,0.002117919451341202
G124,4hpro_LT,mm,3,4.992584367690749,0.010977941437022331,0.00022013883449370814,0.001964615936059189
G124,taur,mm,3,-1.0030777789198906,0.2391985727042233,0.10115144382477133,0.14776753746805565
G124,g3pc,mm,3,-0.2001549797311317,0.00026188953915611506,0.0032526133409461764,0.011053162739454041
G124,gln__L,mm,3,-0.11012766056774542,0.0003098756983249981,0.012535404627581815,0.029165744202148364
G124,xan,mm,3,0.31993870003807473,0.016738263624937435,0.07292973042887464,0.11351242916475066
G124,man,mm,3,-0.040533132454771796,0.0019470751066361905,0.32350850210411664,0.3882149612692208
G146,hom__L,mm,3,-0.0874044448964066,0.0002633520493497916,0.01680292718601622,0.03636731402578176
G146,gly,mm,3,0.48545416853180745,0.005292725355984267,0.011043631233331502,0.02643997005326753
G146,dmbzid,mm,3,5.668945588012396,0.5186815072341419,0.007973475042352554,0.02093182481546094
G146,pala,mm,3,-0.8449292483398364,0.028483553914604904,0.01937133689580065,0.04052612972067896
G146,pro__L,mm,3,0.5221035216271278,0.014441037294519303,0.025480321564499035,0.04996436220625391
G146,ncam,mm,3,-8.006060159227381,0.0018045012137214605,1.4076034244514968e-05,0.0003126862234768561
G146,dmgly,mm,3,-0.34571982968745657,0.0019354891615025042,0.007999748588473427,0.020968348904282175
G146,met__L,mm,3,0.38372283383483313,0.0007329236497020222,0.002479566840408225,0.009108313762517285
G146,bzalc,mm,3,0.1285030789250766,0.0034318506521968,0.09009156807646271,0.13479313121709216
G146,cyst__L,mm,3,0.15733582603096896,0.0006871023302467217,0.01359591058727303,0.031078817686088514
G146,pydxn,mm,3,-0.13669081652615822,0.007654510220242369,0.15775079972193065,0.21317312852657228
G146,glc__D,mm,3,-2.183542063230011,0.005658539432493309,0.0005928773613230959,0.0036400326999102275
G146,citr__L,mm,3,-0.006192309105069333,5.532854677836437e-05,0.36019908204807893,0.4245691472631694
G146,thym,mm,3,0.059862542814244496,0.006991427305772864,0.41787537406667885,0.4825638459671197
G146,acser,mm,3,-0.8972998790159984,0.5216459248420331,0.22100257198331996,0.282615170560758
G146,hxan,mm,3,-0.5324121914992744,0.09803274892088724,0.13800789673367853,0.19182601069867422
G146,creat,mm,3,-0.21148021714668438,0.006146069549006076,0.06235361274773048,0.10035133284577319
G146,csn,mm,3,2.255789824721721,0.02186747362774365,0.0021417775401388847,0.008193904277624486
G146,ile__L,mm,3,0.24941150712210133,0.00035305116000207995,0.0028257311174720284,0.009997072985650422
G146,val__L,mm,6,-0.0029522586160173614,0.2822957765180026,0.9905672645329038,0.9919552940495197
G146,Glc_aD,mm,3,-2.183542063230011,0.005658539432493309,0.0005928773613230959,0.0036400326999102275
G146,ser__L,mm,3,-0.2642401319731546,0.0008505423510792447,0.006035630269317976,0.016998475554554058
G146,ala_B,mm,6,0.1251928184453015,0.060320423865687735,0.3060066922266437,0.37125487242130706
G146,phe__L,mm,3,-0.07057451639552625,0.0007954927586593744,0.07140844965713739,0.11153327187733195
G146,4hbald,mm,3,0.17658872361478486,0.013340206258754386,0.16311277969395166,0.2191138120456439
G146,glygly,mm,6,-1.2656773737681537,0.3134274901816528,0.003915896103342823,0.012510036433857617
G146,chol,mm,3,-0.21692792645911474,0.003309508335827381,0.03341196271476807,0.06167598903295622
G146,thr__L,mm,6,0.09730940639469794,0.03437582346667987,0.2934174116547702,0.3586603151271385
G146,6dg,mm,3,-0.8449292483398364,0.028483553914604904,0.01937133689580065,0.04052612972067896
G146,sucr,mm,3,-0.8449292483398364,0.028483553914604904,0.01937133689580065,0.04052612972067896
G146,5mta,mm,3,-5.250933733284589,0.009447356920041262,0.00017127566613252675,0.0016848197495059909
G146,glc__aD,mm,3,-2.183542063230011,0.005658539432493309,0.0005928773613230959,0.0036400326999102275
G146,1acpc,mm,3,0.3075879607586521,0.0010479194239763083,0.005492495117880906,0.015872267027875413
G146,5aptn,mm,6,-0.40533428164953095,0.03819221968890482,0.005643941488389015,0.016214845365536523
G146,gbbtn,mm,3,0.10100417542845334,0.0038627884847526914,0.14832256319002934,0.2028101402157361
G146,4tmeabutn,mm,3,0.10100417542845334,0.0038627884847526914,0.14832256319002934,0.2028101402157361
G146,tyr__L,mm,3,0.5706960921453426,0.02904665831168714,0.041814936198236945,0.0733326236909694
G146,cellb,mm,3,-0.8449292483398364,0.028483553914604904,0.01937133689580065,0.04052612972067896
G146,malt,mm,3,-0.8449292483398364,0.028483553914604904,0.01937133689580065,0.04052612972067896
G146,all__D,mm,3,-2.183542063230011,0.005658539432493309,0.0005928773613230959,0.0036400326999102275
G146,glyb,mm,6,-0.03856906851322703,0.0738918653012094,0.7638609392677915,0.799784953846205
G146,acgam,mm,3,-0.18837562663582166,0.19020974334269625,0.6034813439231106,0.6562853875593867
G146,galt,mm,3,-1.8367390453366514,0.005572841550062313,0.0008249243703741325,0.0045209524638640634
G146,athr__L,mm,3,-0.0874044448964066,0.0002633520493497916,0.01680292718601622,0.03636731402578176
G146,diact,mm,3,0.20172773315123674,0.0008094391923575126,0.009799467682220113,0.02422829814599067
G146,ura,mm,3,-1.3498668961794245,0.0004407735396794648,0.00012092743551859841,0.0013408966919063825
G146,leu__L,mm,3,-0.0423203734283256,0.0030198482361739123,0.38984801210392095,0.4543829109517526
G146,sarcs,mm,9,0.15298351833758725,0.04191422706020047,0.06750124437065162,0.10666191795302866
G146,ade,mm,3,-0.12856098418765594,0.03834110510674183,0.4511602722951029,0.5147628140747111
G146,ala__L,mm,9,-0.9432326639730939,2.0947216999221436,0.10252207586962238,0.14941858166661698
G146,crn,mm,3,0.08599566840085947,0.003422542895898314,0.17318728830286945,0.23030944470719325
G146,his__L,mm,3,0.27846506206049376,0.009302423601475209,0.05507406760719142,0.09085568424625888
G146,mnl,mm,3,-1.8367390453366514,0.005572841550062313,0.0008249243703741325,0.0045209524638640634
G146,4abut,mm,3,-0.12262330160256953,0.01753806518816624,0.32058698163300914,0.38531363340738306
G146,uri,mm,3,-5.090788425937415,0.05302462263521346,0.0010214372483064757,0.005122597400015599
G146,2dglc,mm,3,-0.5897926562928689,0.036091048350910745,0.04815979263150663,0.08206341393444495
G146,srb__L,mm,3,-2.183542063230011,0.005658539432493309,0.0005928773613230959,0.0036400326999102275
G146,ala__D,mm,6,0.055000352743870835,0.0339985112794662,0.5343180284133129,0.5927972972220353
G146,trp__L,mm,3,-0.020589846258440635,0.0009958775153022848,0.4535674412456816,0.5171377981592635
G146,ahcys,mm,3,-1.1187053534260325,0.15613119671906775,0.05708831577207329,0.09347729377136481
G146,asn__L,mm,6,-0.34067101242592185,0.3135784313010226,0.231838013983761,0.29410319817785535
G146,4hpro_LT,mm,3,1.5720124856108058,0.007196346932388985,0.0014528569655158023,0.00639731503638859
G146,taur,mm,3,0.09877965333510554,0.013685077444778449,0.35484278303135275,0.41908510145985167
G146,g3pc,mm,3,-0.09476858731479537,0.00027711885809690936,0.015079824551121094,0.03356976292817579
G146,gln__L,mm,3,-4.463856553592573,0.018166795515918373,0.0004555447357366708,0.003078534708219497
G146,xan,mm,3,-9.63594516901066,1.0696268681135566,0.005710591661412454,0.016347183380045708
G146,man,mm,3,-2.183542063230011,0.005658539432493309,0.0005928773613230959,0.0036400326999102275
G86,hom__L,mm,8,0.8914004246156936,0.23162616860096943,0.0017524042135346448,0.007239050122558
G86,gly,mm,8,-2.060853391549902,0.13180568732608205,1.393365892897457e-06,4.829588957935502e-05
G86,duri,mm,5,-0.514936206234849,0.003129205776601459,5.121435606679544e-05,0.000768107860716377
G86,ins,mm,8,-0.03773346328824793,0.006913086259198256,0.26891177941402333,0.3333237414937677
G86,pala,mm,8,-1.188557274381851,0.02320471109748907,1.5714136141672727e-07,7.992958999036594e-06
G86,pro__L,mm,8,0.06123571214714089,0.014204869254669853,0.2161970809211666,0.2775626405826133
G86,cys__L,mm,5,-1.3188815629543904,0.10412271571718494,0.0012194595112650028,0.005675589317652454
G86,ncam,mm,8,-7.995092991827102,0.27688101127632286,1.5358660890768705e-09,1.3550700006898588e-07
G86,dmgly,mm,8,0.10060773042858032,0.18679026784956632,0.5574543206134803,0.6135603422553885
G86,met__L,mm,8,-0.13281277325891358,0.11796699267824548,0.3403205030868074,0.40501256874435787
