medium	description	compound	name
mm	mega medium, preparation protocol	4abz	4-Aminobenzoate
mm	mega medium, metabolomics	xan	Xanthine
mm	mega medium, metabolomics	ser__L	L-Serine
mm	mega medium, metabolomics	xtsn	Xanthosine
mm	mega medium, metabolomics	adn	Adenosine
mm	mega medium, metabolomics	bzal	Benzaldehyde
mm	mega medium, preparation protocol	fol	Folate
mm	mega medium, metabolomics	cys__L	L-Cysteine
mm	mega medium, metabolomics	Lpipecol	L-pipecolic acid; piperidine-2-carboxylic acid
mm	mega medium, metabolomics	gly	Glycine
mm	mega medium, metabolomics	catechol	Catechol
mm	mega medium, metabolomics	4abut	4-Aminobutanoate
mm	mega medium, metabolomics	5mta	5-Methylthioadenosine
mm	mega medium, metabolomics	duri	Deoxyuridine
mm	mega medium, preparation protocol	ival	Isovalerate
mm	mega medium, metabolomics	ncam	Nicotinamide
mm	mega medium, metabolomics	cysi__L	L Cystine C6H12N2O4S2
mm	mega medium, preparation protocol	pi	Phosphate
mm	mega medium, preparation protocol	ni2	Nickel
mm	mega medium, preparation protocol	mn2	Manganese
mm	mega medium, metabolomics	acrn	O Acetylcarnitine C9H17NO4
mm	mega medium, metabolomics	phe__L	L-Phenylalanine
mm	mega medium, preparation protocol	na1	Sodium
mm	mega medium, metabolomics	diact	Diacetyl C4H6O2
mm	mega medium, metabolomics	his__L	L-Histidine
mm	mega medium, metabolomics	cyst__L	L-Cystathionine
mm	mega medium, metabolomics	mnl	D-Mannitol
mm	mega medium, metabolomics	met__L	L-Methionine
mm	mega medium, metabolomics	man	D-Mannose
mm	mega medium, metabolomics	1acpc	1-Aminocyclopropane-1-carboxylate
mm	mega medium, metabolomics	ile__L	L-Isoleucine
mm	mega medium, preparation protocol	pnto__R	(R)-Pantothenate
mm	mega medium, metabolomics	leu__L	L-Leucine
mm	mega medium, metabolomics	26dap_LL	LL-2,6-Diaminoheptanedioate
mm	mega medium, metabolomics	ins	Inosine
mm	mega medium, metabolomics	gln__L	L-Glutamine
mm	mega medium, metabolomics	sucr	Sucrose C12H22O11
mm	mega medium, metabolomics	ura	Uracil
mm	mega medium, metabolomics	val__L	L-Valine
mm	mega medium, metabolomics	4hbald	4-Hydroxybenzaldehyde
mm	mega medium, metabolomics	4gudbutn	4 Guanidinobutanoate C5H11N3O2
mm	mega medium, metabolomics	crn	L-Carnitine
mm	mega medium, preparation protocol	fe3	Iron (Fe3+)
mm	mega medium, metabolomics	pro__L	L-Proline
mm	mega medium, preparation protocol	modb	
mm	mega medium, preparation protocol	sel	Selenate
